cds_code,school,street,city,state,zip
37684526141410,Growing Tree Academy,777 Taylor Street,Vista,CA,92084
37735517017098,Halstrom Academy-Carlsbad,"705 Palomar Airport Road, Suite 340",Carlsbad,CA,92011
37683387077753,Halstrom Academy-San Diego,"9915 Mira Mesa Blvd, Suite 210",San Diego,CA,92131
,Hayden Prep,960 Marlin Dr.,Vista,CA,92084
37681977082803,"Heartland Christian Homeschool Center, Inc.",3327 Kenora Drive,Spring Valley,CA,91977
37683387052608,Heritage Christian School of San Diego,"5725 Kearny Villa Road, Suite G",San Diego,CA,92123
37681147080393,Heritage School,750 Palomino Road,Fallbrook,CA,92028
37683466139570,High Bluff Academy,"12707 High Bluff Drive, Suite 150",San Diego,CA,92130
,Higher Learning Academy,7847 Deerfield Street,San Diego,CA,92120
37683386975494,Holy Family Elementary,1945 Coolidge Street,San Diego,CA,92111
37679916975510,Holy Trinity Elementary,509 Ballard Street,El Cajon,CA,92019
37683386930465,Horizon Christian Academy,5331 Mt Alifan Drive,San Diego,CA,92111
37683876203491,Horizon Prep,6233 El Apajo Road,Rancho Santa Fe,CA,92067
37683387080427,Islamic School of San Diego,7050 Eckstrom Avenue,San Diego,CA,92111
,Joshua's Generation Academy,"1604 Presioca Street, Number 8",Spring Valley,CA,91977
,Kid's Town Montessori School,867 Sycamore Avenue,Vista,CA,92081
37680987093594,Kings Academy,1717 East Lincoln Avenue,Escondido,CA,92027
37683386205769,Kuyper Preparatory School,7997 Paradise Valley Road,San Diego,CA,92139
37680807077332,La Costa Valley Preschool and Kindergarten,2276 Calle Barcelona,Carlsbad,CA,92009
37683386939045,La Jolla Country Day School,9490 Genesee Avenue,La Jolla,CA,92037
37681896954374,"Learning Academy, The",11646 Riverside Drive,Lakeside,CA,92040
37682966139182,Legacy Montessori School,12310 9th Street,Poway,CA,92064
37735516204796,LePort School Carlsbad Village,3016 Highland Drive,Carlsbad,CA,92008
37682966144059,Lifetime Montessori School,14727 Camino de la Luna,San Diego,CA,92127
37682056146047,Lighthouse Christian Academy,1345 Skyline Drive,Lemon Grove,CA,91945
37683386151138,Little Geeks Transitional Kindergarten Program,"3275 Adams Avenue, Suite H",San Diego,CA,92116
37103716151542,Lutalo Delta University College,9945 Rue Chantemar San Diego CA 92131-3205,San Diego,CA,92131
37684116939136,Lutheran High School of San Diego,810 Buena Vista Way,Chula Vista,CA,91910
37682967078298,Maranatha Christian Schools,9050 Maranatha Drive,San Diego,CA,92127
37683386996045,Maria Montessori School,4544 Pocahontas Avenue,San Diego,CA,92117
37684116939169,Mater Dei Catholic High School,1615 Mater Dei Drive,Chula Vista,CA,91913
37680236150312,Mater Dei Juan Diego Academy,1615 Mater Dei Drive,Chula Vista,CA,91913
37737916148340,Meridian Academy,1001 Country Club Lane,Escondido,CA,92026
37680236149223,Mindful Montessori School,4980 Bonita Road,Bonita,CA,91902
37683386980999,Mission Bay Montessori Academy,2640 Soderblom Ave,San Diego,CA,92122
37680237071988,Montessori American School,3604 Bonita Road,Chula Vista,CA,91910
37680236142301,Montessori Explorer,271 East J Street,Chula Vista,CA,91910
37684527101017,Montessori School of Oceanside,3525 Cannon Road,Oceanside,CA,92056
37735696133235,Montessori School of Oceanside # 2,"4760 Oceanside Boulevard, Suite B - 10",Oceanside,CA,92056
37756146203061,Morning Star Ranch Training Program,12458 Keys Creek Road,Valley Center,CA,92082
,Mountain View,2044 Rorex Drive,Escondido,CA,92025
37683387008212,Mt. Erie Christian Academy,504 South 47th Street,San Diego,CA,92113
37681976927636,Mt. Helix Academy,5955 Severin Drive,La Mesa,CA,92108
37684116137368,National University Virtual High School,"660 Bay Boulevard, Suite 110B",Chula Vista,CA,91910
37683387103328,Nativity Prep Academy,2755 55th Street,San Diego,CA,92105
37683877093602,"Nativity School, The",6309 El Apajo Road,Rancho Santa Fe,CA,92067
37683386975569,"Nazareth School of San Diego, Inc",10728 San Diego Mission Road,San Diego,CA,92108
37682966130777,NewBridge School,12285 Oak Knoll Road,Poway,CA,92064
37737916136477,North County Christian School,"711 Center Drive, Suite 105-316",San Marcos,CA,92069
37680566143622,Notre Dame Academy,4345 Del Mar Trails Road,San Diego,CA,92130
37683956939177,Ocean View Christian Academy,2460 Palm Avenue,San Diego,CA,92154
37735697090327,Oceanside Adventist Elementary,1943 California Street,Oceanside,CA,92054
37681976975589,Our Lady of Grace School,2766 Navajo Road,El Cajon,CA,92020
37683796975593,Our Lady of Mount Carmel School,4141 Beyer Boulevard,San Ysidro,CA,92173
37683386975619,Our Lady of the Sacred Heart,4106 42nd Street,San Diego,CA,92105
37683386966071,Our Lady's School,650 24th Street,San Diego,CA,92102
37683956146617,Pa Dahring Academy,"211 Elm Avenue, Number 214",Imperial Beach,CA,91932
37683466141725,Pacific Academy,"679 Encinitas Boulevard, Suite 211",Encinitas,CA,92024
37735516133680,Pacific Ridge School,6269 El Fuerte Street,Carlsbad,CA,92009
37680236965537,Pilgrim Lutheran,497 E Street,Chula Vista,CA,91910
37756146953160,Pine Glen Academy,15519 Villa Sierra Road,Valley Center,CA,92082
,Progressing In Wisdom,922 Hamilton Lane,Escondido,CA,92029
37683046148647,Ramona Christian Academy,23726 Gymkhana Road,Ramona,CA,92065
37683046138689,Ramona Faith Academy,320 Third Street,Ramona,CA,92065
37683046956924,Ramona Lutheran,520 16th Street,Ramona,CA,92065
37680807091036,Rancho Encinitas Academy,910 Encinitas Boulevard,Encinitas,CA,92024
37735516141469,Redeemer by the Sea Lutheran Kindergarten and Preschool,6604 Black Rail Road,Carlsbad,CA,92011
37683386984587,Reformation Ev. Lutheran Church and School,4670 Mt. Abernathy Ave.,San Diego,CA,92117
